ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1245,8.693680556,"24,912.48",,55,1034,1986896,11,"6,447.41",,3,1010,1010,0.3,17,2,253,951,19,,,,,,,318.88
1246,11.01603271,"41,237.31",,55,1034,4920546,,"6,447.41",10,7,151,157,0.6,667,4,99,139,104,,,,,,,1286.95
1247,11.17883699,"20,566.65",,55,107,6394324,,"1,074.56",,1,,,,,,,20093,2710,,,,,,,220.83
1248,10.29476105,"37,131.52",,52,4804,1092743,5783,"20,967.52",12066,8,9842,9909,0.3,654,10,2893,,,,,,,,,225.41
1249,9.734032631,"20,167.76",,55,3727,1931839,258,"17,428.16",2130,6,9661,14965,0.3,168,7,3938,5428,129,,,,,,,476.41
1250,10.50271356,"32,695.57",,55,1228,3610348,116,"7,656.30",,7,933,933,0.8,26,2,742,16620,96,,,,,,,226.21
1251,11.5638859,"33,160.90",,55,150,6604268,,"1,504.39",,6,18197,45749,0.5,108,3,21035,,,,,,,,,59.72
1252,10.64847446,"35,030.01",,56,1163,2991614,2,"7,253.33",,1,418,638,0.5,33,2,319,7965,96,,,,,,,283.3
1253,11.49311828,"24,363.36",,55,,,,,,,511,511,0.5,12,3,255,,,,,,,,,201.24
1254,9.853314292,"26,629.81",,56,11398,2465492,295,"39,080.72",444,8,4848,5645,0.5,156,2,3077,10766,187,,,,,,,376.26
1255,11.59397476,"30,216.06",,55,1400,3295215,19,"8,730.87",,2,14146,59683,0.3,508,4,15959,2177,108,,,,,,,108.64
1256,11.94779794,"23,095.13",,56,21,9920667,,500,,2,431,1555,0.5,125,7,777,,,,,,,,,137.82
1257,11.60846662,"20,880.64",,55,129,8652857,,"1,289.48",,2,38,38,0,5,5,,11195,73,,,,,,,140.73
1258,10.77957251,"27,293.73",,56,5171,1243117,11,"20,954.09",3450,8,1222,1222,0.1,68,3,114,60026,882,,,,,,,387.62
1259,11.36055033,"38,604.82",,55,387,4985634,4,"3,868.44",15400,7,667,985,0.6,159,3,618,31548,596,,,,,,,447.23
1260,11,"21,350.08",,55,1206,1947084,59,"7,521.98",15,8,4217,120616,0.3,359,16,36466,178404,7768,,,,,,,381.41
1261,7.669554585,"20,535.11",,36,2844,12204393,,"14,184.30",,10,10975,10365,0.3,349,5,3324,,,,,,,,,302.04
1262,11.87072394,"21,776.81",,55,4718,2871606,16,"20,591.42",,6,1894,1913,0.3,350,4,596,5624,100,,,,,,,265.14
1263,11.27291032,"36,172.76",,55,107,13148858,,"1,074.56",,1,,,,,,,72405,964,,,,,,,804.64
1264,11.04953405,"32,730.00",,55,,6661166,,50,507,8,,,,,,,1472,28,,,,,,,211.27
1265,11.72486522,"30,551.76",,52,13121,769442,37,"44,990.85",8847,7,3212,4821,0.2,340,10,935,314265,1700,,,,,,,161.04
1266,12.49806153,"33,012.51",,56,1486,1917890,7627,"9,268.15",21,5,4669,4669,1,30,1,4603,922,45,,,,,,,814.17
1267,12.21989247,"32,273.47",,55,4524,2669489,37,"19,745.20",,6,4954,63514,0.5,82,3,30807,,,,,,,,,390.67
1268,12.81293048,"23,762.40",,55,215,4978823,,"2,149.13",,1,191,382,1,0,1,382,,,,,,,,,143.56
